"startDate","endDate","finished","t_welcome_fc","t_welcome_lc","t_welcome_ps","t_welcome_cc","welcome","require","t_age_fc","t_age_lc","t_age_ps","t_age_cc","age","t_hltref_fc","t_hltref_lc","t_hltref_ps","t_hltref_cc","hltref","t_abrtch_fc","t_abrtch_lc","t_abrtch_ps","t_abrtch_cc","abrtch","t_gaymarry_fc","t_gaymarry_lc","t_gaymarry_ps","t_gaymarry_cc","gaymarry","t_gayadopt_fc","t_gayadopt_lc","t_gayadopt_ps","t_gayadopt_cc","gayadopt","t_attchk1_fc","t_attchk1_lc","t_attchk1_ps","t_attchk1_cc","attchk1","t_abrthlth_fc","t_abrthlth_lc","t_abrthlth_ps","t_abrthlth_cc","abrthlth","t_abrtinc_fc","t_abrtinc_lc","t_abrtinc_ps","t_abrtinc_cc","abrtinc","t_abrtbd_fc","t_abrtbd_lc","t_abrtbd_ps","t_abrtbd_cc","abrtbd","t_fedwlf_fc","t_fedwlf_lc","t_fedwlf_ps","t_fedwlf_cc","fedwlf","t_abrtfin_fc","t_abrtfin_lc","t_abrtfin_ps","t_abrtfin_cc","abrtfin","t_attchk2_fc","t_attchk2_lc","t_attchk2_ps","t_attchk2_cc","attchk2_c1","attchk2_c2","attchk2_c3","attchk2_c4","attchk2_c5","attchk2_c6","attchk2_c7","attchk2_c8","attchk2_c9","attchk2_c10","attchk2_c11_C","attchk2_c12_C","t_abrtrpe_fc","t_abrtrpe_lc","t_abrtrpe_ps","t_abrtrpe_cc","abrtrpe","t_fedpoor_fc","t_fedpoor_lc","t_fedpoor_ps","t_fedpoor_cc","fedpoor","t_fedenv_fc","t_fedenv_lc","t_fedenv_ps","t_fedenv_cc","fedenv","t_fedschool_fc","t_fedschool_lc","t_fedschool_ps","t_fedschool_cc","fedschool","t_abrtdth_fc","t_abrtdth_lc","t_abrtdth_ps","t_abrtdth_cc","abrtdth","t_drill_fc","t_drill_lc","t_drill_ps","t_drill_cc","drill","t_gwhap_fc","t_gwhap_lc","t_gwhap_ps","t_gwhap_cc","gwhap","t_gwhow_fc","t_gwhow_lc","t_gwhow_ps","t_gwhow_cc","gwhow","t_gwhow2_fc","t_gwhow2_lc","t_gwhow2_ps","t_gwhow2_cc","gwhow2","t_aauni_fc","t_aauni_lc","t_aauni_ps","t_aauni_cc","aauni","t_aawork_fc","t_aawork_lc","t_aawork_ps","t_aawork_cc","aawork","t_gun_fc","t_gun_lc","t_gun_ps","t_gun_cc","gun","t_comm_fc","t_comm_lc","t_comm_ps","t_comm_cc","comm","pref","pref2","sex","edu","comment","tcompl","group","self_placement","party_placement"
2015-02-05 00:44:00,2015-02-05 00:50:00,1,0,0,4.871,0,1,1,NA,NA,NA,NA,36,8.65,8.65,13.814,1,3,10.257,10.257,16.177,1,2,7.064,7.064,10.237,1,2,8.774,8.774,10.235,1,2,0,0,15.483,0,-99,13.547,13.547,21.234,1,3,10.241,10.241,28.444,1,2,13.548,13.548,16.223,1,3,3.509,3.509,4.855,1,2,5.051,5.051,8.413,1,2,15.723,19.088,26.532,3,0,0,0,0,0,0,0,0,0,0,1,1,4.778,4.778,8.52,1,3,4.102,4.102,5.401,1,2,4.808,4.808,11.743,1,3,3.253,3.253,4.563,1,2,11.463,11.463,12.926,1,3,9.338,9.338,10.471,1,1,15.122,15.122,16.538,1,2,NA,NA,NA,NA,NA,6.42,6.42,7.636,1,2,13.846,13.846,15.593,1,3,5.505,5.505,7.351,1,3,6.251,6.251,9.446,1,3,9.017,9.017,11.635,1,4,2,"",2,4,"",6,2,75,50
2015-02-04 22:30:00,2015-02-04 22:35:00,1,0,0,19.628,0,1,1,NA,NA,NA,NA,27,12.303,12.303,13.105,1,3,6.769,6.769,7.731,1,1,3.244,3.244,5.734,1,1,2.511,2.511,3.3,1,1,0,0,10.458,0,-99,15.952,15.952,17.019,1,3,8.651,8.651,9.346,1,3,16.074,16.074,17.157,1,3,4.418,4.418,5.453,1,2,6.25,6.25,8.12,1,3,10.405,11.107,12.425,2,0,0,0,0,0,0,0,0,0,0,1,1,6.678,6.678,12.264,1,1,6.682,6.682,7.401,1,1,1.968,1.968,2.641,1,1,2.156,2.156,2.985,1,1,3.594,3.594,4.48,1,1,5.98,5.98,6.741,1,3,11.774,11.774,12.778,1,1,4.695,4.695,5.651,1,1,NA,NA,NA,NA,NA,11.451,11.451,12.351,1,1,4.602,4.602,5.485,1,3,5.807,5.807,6.723,1,1,6.053,7.821,8.678,2,2,1,"",1,3,"",5,2,40,20
2015-02-04 22:00:00,2015-02-04 22:06:00,1,25.579,25.579,36.555,1,1,1,NA,NA,NA,NA,27,11.86,12.83,13.822,3,1,23.99,23.99,24.707,1,1,5.675,5.675,9.614,1,1,2.401,2.401,3.043,1,1,0,0,14.037,0,-99,24.216,25.31,26.081,2,1,11.397,11.397,12.724,1,1,2.519,4.887,5.496,3,1,3.259,4.009,4.892,3,3,6.575,6.575,7.13,1,3,1.792,12.633,22.837,3,0,0,0,0,0,0,0,0,0,0,1,1,3.692,3.692,4.278,1,1,2.924,7.361,8.142,3,2,9.348,9.348,10.62,1,3,1.613,1.613,2.202,1,2,2.253,2.253,2.916,1,1,11.416,11.416,12.111,1,1,10.576,10.576,13.167,1,1,5.218,5.218,6.915,1,2,NA,NA,NA,NA,NA,6.857,6.857,7.414,1,3,6.54,6.774,7.375,2,3,6.779,6.779,7.608,1,1,16.595,16.595,17.953,1,7,1,"",1,3,"",6,1,36,10
2015-02-04 22:59:00,2015-02-04 23:03:00,1,0,0,5.126,0,1,1,NA,NA,NA,NA,27,12.484,12.484,13.655,1,1,4.702,4.702,5.59,1,1,5.745,5.745,8.445,1,1,3.439,3.439,4.265,1,1,0,0,13.117,0,-99,10.302,10.302,11.773,1,1,4.672,4.672,6.564,1,1,3.804,3.804,4.965,1,1,5.914,5.914,7.734,1,3,4.84,4.84,5.644,1,3,9.351,9.925,15.323,2,0,0,0,0,0,0,0,0,0,0,1,1,5.07,5.07,6.465,1,1,5.302,10.301,10.651,5,2,2.45,2.45,3.479,1,1,1.881,1.881,2.442,1,1,4.029,4.029,5.342,1,1,9.598,9.598,12.179,1,2,7.008,7.008,8.266,1,1,3.138,3.138,4.794,1,1,NA,NA,NA,NA,NA,7.039,7.039,9.377,1,3,4.824,4.824,5.701,1,3,7.246,7.246,8.673,1,2,9.637,9.637,12.332,1,6,1,"",1,4,"No comments ",4,2,43,35
2015-02-04 23:34:00,2015-02-04 23:39:00,1,0,0,12.294,0,1,1,NA,NA,NA,NA,40,11.012,11.012,12.117,1,2,12.138,12.138,12.98,1,1,9.917,9.917,10.928,1,1,2.597,2.597,3.455,1,1,0,0,10.272,0,-99,9.684,10.916,11.501,2,1,8.066,8.066,8.995,1,1,3.165,3.165,3.95,1,1,3.704,3.704,4.425,1,1,7.864,7.864,9.792,1,2,12.827,13.419,16.685,2,0,0,0,0,0,0,0,0,0,0,1,1,3.69,3.69,4.549,1,1,3.809,3.809,4.618,1,1,3.667,3.667,4.62,1,2,2.283,2.283,2.988,1,1,3.27,3.27,4.107,1,1,5.183,5.183,5.978,1,2,8.704,8.704,9.786,1,1,6.877,6.877,7.792,1,3,NA,NA,NA,NA,NA,7.094,7.094,7.912,1,2,5.572,5.572,6.277,1,2,6.672,6.672,7.706,1,3,6.423,6.423,7.225,1,1,1,"",2,4,"",5,1,30,34
2015-02-04 23:23:00,2015-02-04 23:27:00,1,0,0,2.014,0,1,1,NA,NA,NA,NA,23,4.653,4.653,5.673,1,3,2.149,2.149,6.198,1,1,1.753,1.753,5.278,1,1,6.775,6.775,7.395,1,1,4.24,5.493,6.553,2,-99,6.198,12.462,13.207,2,3,9.836,9.836,10.936,1,3,5.102,5.102,5.976,1,1,3.009,3.536,3.829,2,2,4.341,4.805,5.705,2,1,4.703,5.935,7.215,3,0,0,0,0,0,0,0,0,0,0,1,1,6.974,6.974,7.65,1,1,1.235,1.235,2.307,1,2,1.359,1.359,2.019,1,1,1.141,1.141,1.898,1,1,2.413,2.413,3.114,1,1,4.973,9.437,10.226,3,1,4.055,8.115,9.479,3,1,1.221,2.709,3.241,3,3,NA,NA,NA,NA,NA,6.802,6.802,8.983,1,2,2.298,2.298,3.591,1,2,4.654,4.654,5.495,1,3,6.181,6.181,6.809,1,7,3,"Libertarian ",1,4,"",4,2,33,50
2015-02-05 00:24:00,2015-02-05 00:30:00,1,0,0,22.652,0,1,1,NA,NA,NA,NA,30,17.639,17.639,19.062,1,1,12.487,12.487,19.174,1,1,9.453,9.453,10.673,1,1,3.029,3.029,10.092,1,1,0,0,19.443,0,-99,9.34,9.34,14.785,1,1,10.48,10.48,11.819,1,1,3.444,3.444,4.386,1,1,8.195,8.634,12.969,2,3,10.465,10.465,20.223,1,3,16.99,21.239,23.597,2,0,0,0,0,0,0,0,0,0,0,1,1,3.551,3.551,5.008,1,1,7.649,7.649,8.447,1,2,3.08,3.08,6.215,1,1,2.758,2.758,3.642,1,1,3.487,3.487,4.839,1,1,33.386,44.763,46.305,4,2,8.028,8.028,9.178,1,1,3.161,3.161,6.375,1,1,NA,NA,NA,NA,NA,8.344,8.344,13.577,1,2,4.618,15.803,16.442,2,2,13.096,13.096,14.198,1,1,6.806,6.806,16.773,1,1,1,"",1,3,"",6,2,31,20
2015-02-04 23:03:00,2015-02-04 23:06:00,1,0,0,2.448,0,1,1,NA,NA,NA,NA,26,4.824,4.824,6.535,1,1,4.734,4.734,6.099,1,1,2.305,2.305,3.254,1,1,1.983,2.883,3.449,2,1,0,0,5.236,0,-99,6.753,6.753,7.883,1,1,3.418,3.418,4.369,1,1,3.042,3.042,3.808,1,1,2.786,2.786,3.641,1,2,4.242,4.242,5.252,1,1,6.776,8.608,15.066,3,0,0,0,0,0,0,0,0,0,0,1,1,2.754,2.754,3.824,1,1,2.012,2.012,2.876,1,1,1.784,1.784,2.768,1,1,1.879,1.879,2.71,1,1,2.369,2.369,4.332,1,1,3.848,3.848,6.013,1,2,5.085,5.085,6.619,1,1,2.211,2.211,3.171,1,1,NA,NA,NA,NA,NA,5.042,5.992,6.913,2,2,3.524,3.524,4.755,1,2,3.323,3.323,4.303,1,1,4.512,4.512,5.627,1,5,1,"",2,4,"Interesting survey ",3,1,23,14
2015-02-04 22:00:00,2015-02-04 22:05:00,1,0,0,15.584,0,1,1,NA,NA,NA,NA,46,5.386,5.386,6.566,1,2,6.614,6.614,7.862,1,2,7.264,7.264,8.366,1,3,2.518,2.518,3.448,1,2,0,0,20.1,0,-99,10.478,10.478,11.732,1,2,5.378,5.378,6.726,1,2,2.778,2.778,3.715,1,2,5.138,5.138,6.366,1,3,4.011,4.011,5.281,1,2,13.57,16.76,19.45,2,0,0,0,0,0,0,0,0,0,0,1,1,3.596,3.596,4.936,1,2,11.589,11.589,13.472,1,2,9.494,9.494,10.678,1,2,3.485,5.165,6.243,2,2,7.757,7.757,9.366,1,2,8.468,8.468,9.684,1,1,5.249,5.249,8.022,1,2,NA,NA,NA,NA,NA,12.513,12.513,13.666,1,2,11.152,11.152,12.115,1,2,5.05,5.05,6.498,1,2,7.778,7.778,8.814,1,2,8.618,8.618,9.811,1,7,2,"",2,3,"mo",5,1,100,82
2015-02-04 22:44:00,2015-02-04 22:50:00,1,0,0,1.732,0,1,1,NA,NA,NA,NA,31,7.313,17.816,18.897,2,1,13.587,15.011,15.848,2,2,10.19,13.854,14.561,2,3,3.893,3.893,4.663,1,2,0,0,7.046,0,-99,4.723,4.723,5.409,1,2,4.787,4.787,5.622,1,2,4.181,4.181,10.437,1,1,4.45,4.45,5.247,1,1,10.751,10.751,11.425,1,2,9.593,10.233,16.218,2,0,0,0,0,0,0,0,0,0,0,1,1,9.005,9.005,10.636,1,2,5.44,5.44,6.629,1,1,19.039,19.039,19.971,1,1,4.884,4.884,5.712,1,1,3.975,3.975,4.82,1,2,7.985,7.985,10.727,1,3,18.823,18.823,19.647,1,1,21.006,21.485,22.575,2,2,NA,NA,NA,NA,NA,11.655,11.655,12.502,1,1,13.662,34.17,34.993,2,2,12.618,13.146,13.947,2,1,7.894,7.894,12.83,1,3,1,"",1,4,"It was a good and engaging study enjoyed it much ",6,2,27,39
