"locLa","locLo"
34.12229919,-117.7142944
37.50790405,-121.9598999
40.13250732,-75.33239746
40.73170471,-73.9885025
38.88650513,-77.09690094
21.40939331,-157.8981934
40.41690063,-74.25789642
33.50909424,-112.0264969
47.55270386,-122.1479034
42.78529358,-83.58640289
45.60229492,-122.5167007
37.645401,-95.46299744
28.32569885,-80.61219788
33.94569397,-118.0388031
28.32569885,-80.61219788
33.83859253,-117.2032013
43.18429565,-76.20010376
38.64460754,-90.25330353
40.68719482,-122.2593002
34.86749268,-92.40010071
42.97619629,-78.79470062
34.17489624,-118.6152039
38.2980957,-77.48259735
34.98739624,-79.23200226
40.27130127,-80.17019653
43.64450073,-72.90049744
38.67799377,-77.31970215
39.92210388,-75.29450226
34.2868042,-118.6139984
33.91639709,-118.4040985
38,-97
39.91229248,-75.15329742
37.12049866,-94.49770355
38.85209656,-104.7777023
44.7631073,-85.62059784
46.60220337,-122.6780014
21.41160583,-158.0182953
32.78309631,-96.80670166
40.78250122,-96.63899994
38.93319702,-119.9844055
33.91290283,-118.3439026
37.44259644,-77.67199707
37.38450623,-122.0881042
37.41920471,-122.0574036
41.2808075,-75.89620209
47.63549805,-122.3235016
33.80470276,-118.3522949
40.5901947,-75.35469818
34.23869324,-118.2467957
39.63870239,-75.61949921
39.21459961,-94.51589966
40.1085968,-76.0707016
32.22109985,-110.8237991
36.00790405,-80.36969757
39.76400757,-105.0179977
33.9230957,-118.1396027
21.41160583,-158.0182953
37.3697052,-122.0214005
45.46769714,-122.4958954
28.55529785,-81.34670258
40.47340393,-79.99030304
29.88130188,-95.45410156
47.82090759,-122.3151016
36.93760681,-85.94629669
40.67050171,-74.10639954
28.37750244,-82.50050354
35.88960266,-78.92440033
33.00349426,-96.90000153
38.7335968,-77.74440002
37.9539032,-78.35839844
43.08459473,-87.88800049
37.05709839,-76.4618988
45.52340698,-122.6762009
37.71859741,-121.9163971
34.14759827,-117.4580994
32.21609497,-89.88990021
33.71989441,-117.9031982
37.57409668,-122.3209991
29.46159363,-98.57350159
40.33560181,-79.55069733
